RUNTIME,FreeHeap=85544,MinEverFreeHeap=85544,TestStackHighWaterWords=910
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=0.04deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.11deg StdDev=0.03deg Drift=0.08deg MaxStep=0.11deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=-0.01deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.20deg StdDev=0.04deg Drift=-0.04deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=-0.01deg MaxStep=0.08deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.03deg Drift=-0.05deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=0.05deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=-0.13deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.13deg StdDev=0.03deg Drift=-0.03deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.03deg Drift=-0.10deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=-0.03deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.20deg StdDev=0.04deg Drift=-0.03deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.13deg StdDev=0.03deg Drift=0.01deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=-0.01deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.17deg StdDev=0.04deg Drift=-0.04deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.19deg StdDev=0.05deg Drift=-0.01deg MaxStep=0.18deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=-0.04deg MaxStep=0.16deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=-0.05deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=-0.14deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=0.04deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.13deg StdDev=0.03deg Drift=0.02deg MaxStep=0.11deg N=25 valid=1
MA600 noise (last 5s): P2P=0.17deg StdDev=0.04deg Drift=0.05deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=0.09deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=0.03deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=0.01deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=-0.03deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.03deg Drift=-0.08deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.03deg Drift=-0.03deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.03deg Drift=-0.07deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=-0.05deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.04deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.13deg StdDev=0.04deg Drift=0.01deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=-0.07deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.20deg StdDev=0.04deg Drift=0.08deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.20deg StdDev=0.05deg Drift=0.02deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.19deg StdDev=0.04deg Drift=-0.16deg MaxStep=0.18deg N=25 valid=1
MA600 noise (last 5s): P2P=0.20deg StdDev=0.04deg Drift=0.09deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.17deg StdDev=0.04deg Drift=0.01deg MaxStep=0.17deg N=25 valid=1
MA600 noise (last 5s): P2P=0.22deg StdDev=0.04deg Drift=-0.03deg MaxStep=0.22deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=0.03deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.14deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.04deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.19deg StdDev=0.05deg Drift=-0.07deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=-0.07deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.12deg StdDev=0.03deg Drift=0.03deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.05deg MaxStep=0.08deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=-0.06deg MaxStep=0.08deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.15deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.17deg StdDev=0.03deg Drift=0.02deg MaxStep=0.17deg N=25 valid=1
MA600 noise (last 5s): P2P=0.08deg StdDev=0.02deg Drift=0.04deg MaxStep=0.08deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.03deg Drift=0.02deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.05deg Drift=0.00deg MaxStep=0.11deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.03deg Drift=-0.07deg MaxStep=0.08deg N=25 valid=1
MA600 noise (last 5s): P2P=0.22deg StdDev=0.05deg Drift=-0.04deg MaxStep=0.22deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.03deg Drift=0.00deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.11deg StdDev=0.03deg Drift=0.04deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=0.03deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=0.08deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.03deg Drift=0.00deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.01deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=-0.04deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.03deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=-0.01deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.20deg StdDev=0.04deg Drift=-0.01deg MaxStep=0.18deg N=25 valid=1
MA600 noise (last 5s): P2P=0.13deg StdDev=0.04deg Drift=-0.04deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=-0.07deg MaxStep=0.18deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.03deg Drift=0.00deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.03deg Drift=0.05deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.03deg Drift=0.05deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.08deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.12deg StdDev=0.03deg Drift=-0.04deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.17deg StdDev=0.04deg Drift=0.06deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.03deg Drift=0.01deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.04deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=-0.02deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=0.03deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.10deg StdDev=0.03deg Drift=-0.03deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.13deg StdDev=0.03deg Drift=0.02deg MaxStep=0.08deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=-0.15deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.12deg StdDev=0.03deg Drift=-0.04deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.00deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.05deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.12deg StdDev=0.04deg Drift=-0.03deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.03deg Drift=-0.03deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.09deg StdDev=0.02deg Drift=0.03deg MaxStep=0.08deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.00deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.00deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=-0.10deg MaxStep=0.11deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.03deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.03deg Drift=0.05deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=-0.10deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.13deg StdDev=0.04deg Drift=0.10deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=-0.05deg MaxStep=0.11deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=-0.02deg MaxStep=0.16deg N=25 valid=1
MA600 noise (last 5s): P2P=0.20deg StdDev=0.04deg Drift=0.09deg MaxStep=0.20deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.05deg Drift=0.07deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.07deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=0.01deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=-0.02deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.01deg MaxStep=0.08deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=0.05deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.19deg StdDev=0.04deg Drift=-0.02deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=-0.07deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.04deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.13deg StdDev=0.03deg Drift=-0.03deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.13deg StdDev=0.03deg Drift=0.04deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.03deg Drift=0.07deg MaxStep=0.08deg N=25 valid=1
MA600 noise (last 5s): P2P=0.19deg StdDev=0.04deg Drift=0.07deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.13deg MaxStep=0.16deg N=25 valid=1
MA600 noise (last 5s): P2P=0.10deg StdDev=0.03deg Drift=0.04deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=-0.02deg MaxStep=0.16deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=-0.08deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=-0.05deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.05deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.20deg StdDev=0.04deg Drift=0.01deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.05deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.09deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=-0.01deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=-0.06deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.12deg StdDev=0.03deg Drift=0.02deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.12deg StdDev=0.03deg Drift=-0.03deg MaxStep=0.08deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=-0.06deg MaxStep=0.16deg N=25 valid=1
MA600 noise (last 5s): P2P=0.20deg StdDev=0.05deg Drift=0.04deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=-0.07deg MaxStep=0.16deg N=25 valid=1
MA600 noise (last 5s): P2P=0.23deg StdDev=0.05deg Drift=0.02deg MaxStep=0.18deg N=25 valid=1
MA600 noise (last 5s): P2P=0.17deg StdDev=0.04deg Drift=-0.10deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.17deg StdDev=0.04deg Drift=0.02deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.01deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.13deg StdDev=0.04deg Drift=0.04deg MaxStep=0.07deg N=25 valid=1
MA600 noise (last 5s): P2P=0.20deg StdDev=0.05deg Drift=-0.02deg MaxStep=0.20deg N=25 valid=1
MA600 noise (last 5s): P2P=0.13deg StdDev=0.03deg Drift=-0.12deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.05deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.17deg StdDev=0.03deg Drift=0.01deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.04deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.19deg StdDev=0.04deg Drift=-0.08deg MaxStep=0.16deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.03deg MaxStep=0.16deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.02deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.12deg StdDev=0.03deg Drift=0.00deg MaxStep=0.08deg N=25 valid=1
MA600 noise (last 5s): P2P=0.21deg StdDev=0.05deg Drift=-0.10deg MaxStep=0.16deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=-0.04deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.19deg StdDev=0.04deg Drift=-0.03deg MaxStep=0.19deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=0.04deg MaxStep=0.11deg N=25 valid=1
MA600 noise (last 5s): P2P=0.10deg StdDev=0.03deg Drift=-0.05deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.19deg StdDev=0.04deg Drift=0.06deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.16deg StdDev=0.04deg Drift=0.04deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.17deg StdDev=0.04deg Drift=0.03deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.17deg StdDev=0.04deg Drift=0.01deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.21deg StdDev=0.05deg Drift=0.05deg MaxStep=0.20deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.01deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.05deg Drift=0.03deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.19deg StdDev=0.04deg Drift=-0.12deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.19deg StdDev=0.05deg Drift=-0.01deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.17deg StdDev=0.05deg Drift=-0.05deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=-0.10deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.03deg Drift=-0.03deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.09deg StdDev=0.02deg Drift=-0.03deg MaxStep=0.04deg N=25 valid=1
MA600 noise (last 5s): P2P=0.13deg StdDev=0.03deg Drift=0.03deg MaxStep=0.10deg N=25 valid=1
