motor_id,jig_a,jig_b,analysis_points,runs_a,runs_b,zero_shift_correlation,best_shift_deg,best_shift_points,best_shift_correlation,second_shift_deg,second_shift_correlation,correlation_margin,shifts_within_0_001_of_best,centered_rmse_zero_shift_deg,centered_rmse_aligned_deg,top5_mean_a_deg,top5_mean_b_deg,top5_delta_b_minus_a_deg,bottom5_mean_a_deg,bottom5_mean_b_deg,bottom5_delta_b_minus_a_deg,robust_nl_a_deg,robust_nl_b_deg,robust_nl_delta_b_minus_a_deg,top5_mean_distance_aligned_deg,top5_max_distance_aligned_deg,bottom5_mean_distance_aligned_deg,bottom5_max_distance_aligned_deg
P05,JIG4,JIG5,360,9,9,0.860517327315275,320.0,320,0.8719507577001535,0.0,0.860517327315275,0.01143343038487854,1,0.40293080568181683,0.3864729213795816,1.6077946666666667,2.070246666666667,0.4624520000000001,-1.6990553333333334,-1.0015666666666667,0.6974886666666666,3.30685,3.0718133333333335,-0.23503666666666634,15.6,39.0,111.6,159.0
P05,JIG4,JIG7,360,9,9,0.9656668066202915,0.0,0,0.9656668066202915,320.0,0.9408359162210927,0.024830890399198724,1,0.20767836174046214,0.20767836174046214,1.6077946666666667,1.691901111111111,0.08410644444444437,-1.6990553333333334,-1.360581111111111,0.33847422222222234,3.30685,3.0524822222222223,-0.2543677777777775,18.0,30.0,8.0,38.0
P05,JIG4,test-1,360,9,9,0.9620946061535757,0.0,0,0.9620946061535757,320.0,0.9547841691585264,0.0073104369950492964,1,0.21734774423698752,0.21734774423698752,1.6077946666666667,1.8053635555555556,0.1975688888888889,-1.6990553333333334,-1.191187777777778,0.5078675555555554,3.30685,2.9965513333333336,-0.3102986666666663,18.0,30.0,8.0,38.0
P05,JIG4,test-2,360,9,9,0.9181418899237783,0.0,0,0.9181418899237783,320.0,0.8949417406935438,0.0232001492302345,1,0.3112388288750339,0.3112388288750339,1.6077946666666667,1.9254595555555558,0.3176648888888891,-1.6990553333333334,-1.0821764444444444,0.616878888888889,3.30685,3.007636,-0.29921399999999965,25.6,39.0,55.6,119.0
P05,JIG5,JIG7,360,9,9,0.9310926950181057,40.0,40,0.9356426967642736,0.0,0.9310926950181057,0.004550001746167931,1,0.26789980881566083,0.258905533768431,2.070246666666667,1.691901111111111,-0.3783455555555557,-1.0015666666666667,-1.360581111111111,-0.3590144444444443,3.0718133333333335,3.0524822222222223,-0.019331111111111188,14.0,30.0,112.4,160.0
P05,JIG5,test-1,360,9,9,0.9344572991018839,0.0,0,0.9344572991018839,40.0,0.9227134886059408,0.011743810495943086,1,0.2611177481667424,0.2611177481667424,2.070246666666667,1.8053635555555556,-0.2648831111111112,-1.0015666666666667,-1.191187777777778,-0.18962111111111124,3.0718133333333335,2.9965513333333336,-0.07526199999999994,26.0,39.0,103.6,120.0
P05,JIG5,test-2,360,9,9,0.9825620161886753,0.0,0,0.9825620161886753,40.0,0.9394443987648601,0.04311761742381526,1,0.13495450699408754,0.13495450699408754,2.070246666666667,1.9254595555555558,-0.14478711111111098,-1.0015666666666667,-1.0821764444444444,-0.08060977777777767,3.0718133333333335,3.007636,-0.06417733333333331,18.0,30.0,40.0,80.0
P05,JIG7,test-1,360,9,9,0.9957178627158081,0.0,0,0.9957178627158081,320.0,0.9517828624770325,0.04393500023877561,1,0.06657767495479155,0.06657767495479155,1.691901111111111,1.8053635555555556,0.11346244444444453,-1.360581111111111,-1.191187777777778,0.16939333333333306,3.0524822222222223,2.9965513333333336,-0.05593088888888875,0.0,0.0,0.0,0.0
P05,JIG7,test-2,360,9,9,0.9690808590087558,0.0,0,0.9690808590087558,320.0,0.9283193610513276,0.04076149795742823,1,0.1792654181087886,0.1792654181087886,1.691901111111111,1.9254595555555558,0.23355844444444473,-1.360581111111111,-1.0821764444444444,0.27840466666666663,3.0524822222222223,3.007636,-0.04484622222222212,8.0,29.0,63.6,120.0
P05,test-1,test-2,360,9,9,0.9688812514541316,0.0,0,0.9688812514541316,40.0,0.9233083178357565,0.04557293361837511,1,0.17973564859846042,0.17973564859846042,1.8053635555555556,1.9254595555555558,0.1200960000000002,-1.191187777777778,-1.0821764444444444,0.10901133333333357,2.9965513333333336,3.007636,0.011084666666666632,8.0,29.0,63.6,120.0
