motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P03,01,2,TOP,1,180,180.0,0.10208,0.0035638181771802013,1,0.5
P03,01,2,TOP,2,262,262.0,0.09842000000000001,0.0032809754647055746,1,0.5
P03,01,2,TOP,3,191,191.0,0.098245,0.0042638538905548865,1,0.5
P03,01,2,TOP,4,341,341.0,0.09717,0.0027152900397563397,0,0.0
P03,01,2,TOP,5,242,242.0,0.09623999999999999,0.003818376618407358,0,0.0
P03,01,2,BOTTOM,1,68,68.0,-0.3627,0.03693925824918525,2,1.0
P03,01,2,BOTTOM,2,67,67.0,-0.341475,0.1335795420339507,2,1.0
P03,01,2,BOTTOM,3,107,107.0,-0.28081500000000004,0.1374686293304767,2,1.0
P03,01,2,BOTTOM,4,108,108.0,-0.23770999999999998,0.07261986642785842,2,1.0
P03,01,2,BOTTOM,5,147,147.0,-0.202305,0.0032597622612699664,1,0.5
P03,02,3,TOP,1,141,141.0,0.10103333333333332,0.012545526427110718,1,0.3333333333333333
P03,02,3,TOP,2,111,111.0,0.09901333333333333,0.004541325063605705,1,0.3333333333333333
P03,02,3,TOP,3,330,330.0,0.09715666666666667,0.006431456548351499,1,0.3333333333333333
P03,02,3,TOP,4,83,83.0,0.09713,0.019551562597398705,1,0.3333333333333333
P03,02,3,TOP,5,33,33.0,0.09495666666666668,0.01519308175892348,2,0.6666666666666666
P03,02,3,BOTTOM,1,67,67.0,-0.4925466666666667,0.0272938845409248,3,1.0
P03,02,3,BOTTOM,2,68,68.0,-0.46778000000000003,0.01842655420853286,3,1.0
P03,02,3,BOTTOM,3,107,107.0,-0.3252366666666667,0.021057961281504296,3,1.0
P03,02,3,BOTTOM,4,347,347.0,-0.28146333333333334,0.04485785364162371,3,1.0
P03,02,3,BOTTOM,5,108,108.0,-0.2742866666666667,0.02644956395355761,3,1.0
