Group,XMetric,YMetric,n,slope,intercept,pearson_r,r2,residual_sd,slope_se,slope_ci95_low,slope_ci95_high
ALL,ShadowP2P_Deg,NL_RobustP2P_Deg,40,0.03143137957684032,3.068645466724728,0.00960716511873976,9.229762161877542e-05,0.10657890209558336,0.5307088708339629,-1.0522761346661118,1.1151388938197926
ALL,RMS_AC_Deg,NL_RobustP2P_Deg,40,4.285550454101176,-0.036448963486011454,0.9475529333105823,0.897856561425489,0.034064068873068745,0.23448581236236063,3.8067304252572356,4.764370482945116
ALL,A36_Deg,NL_RobustP2P_Deg,40,0.41078552944115604,2.8117511035350486,0.0894234447669787,0.007996552473993224,0.10615681400799745,0.7422129596010882,-1.104813334064266,1.926384392946578
ALL,ClosureErrorDeg,NL_RobustP2P_Deg,40,-0.8658201147224248,3.2474519379134343,-0.873607749451672,0.7631904999020153,0.05186696616622495,0.07823821896001434,-1.025582557838774,-0.7060576716060756
ALL,ApproachReturnErrorDeg,NL_RobustP2P_Deg,40,0.36938872911092874,3.115866712443329,0.8754404444998961,0.7663959718661759,0.051514732478609854,0.033083039127800515,0.3018331632119601,0.4369442950098974
ALL,AnalysisStartRawCentered,NL_RobustP2P_Deg,40,-3.311914664765863e-06,3.1776532,-0.9096812221544976,0.8275199259405004,0.044265028707140094,2.452830709110379e-07,-3.8127826955662023e-06,-2.8110466339655235e-06
P03,ShadowP2P_Deg,NL_RobustP2P_Deg,10,0.48600191593691244,1.3435032890848506,0.7359662632081314,0.5416463405805407,0.012531086616444915,0.15806489701411347,0.12150426342236675,0.8504995684514581
P03,RMS_AC_Deg,NL_RobustP2P_Deg,10,7.253291798727853,-2.2211123935355253,0.8237909177367105,0.6786314761455049,0.010492767488485485,1.764716008224,3.1838566837633087,11.322726913692396
P03,A36_Deg,NL_RobustP2P_Deg,10,3.379373830187599,-0.04151592100481505,0.5171249302002368,0.2674181934346094,0.01584223476656264,1.9775334223359167,-1.1808182417190247,7.939565902094222
P03,ClosureErrorDeg,NL_RobustP2P_Deg,10,0.169039601954967,2.9843052321428116,0.1605352049378642,0.025771552024432265,0.018269168605378902,0.3674545121213275,-0.6783105029968143,1.0163897069067482
P03,ApproachReturnErrorDeg,NL_RobustP2P_Deg,10,0.262536512185043,3.0417568832713755,0.31947733261360317,0.10206576605389672,0.017539234921744886,0.2753131356404409,-0.3723355786018138,0.8974086029718997
P03,AnalysisStartRawCentered,NL_RobustP2P_Deg,10,0.001588283653846136,-43.17094584579276,0.391355420470022,0.15315906513124566,0.01703292765576295,0.0013204216631623412,-0.0014566087014062227,0.004633176009098495
P02_R1,ShadowP2P_Deg,NL_RobustP2P_Deg,10,0.18398322629465055,2.633035728568987,0.44539641657788365,0.19837796790041629,0.014579121670440549,0.13075892476119172,-0.11754685420465757,0.48551330679395865
P02_R1,RMS_AC_Deg,NL_RobustP2P_Deg,10,6.362667030406798,-1.6466734331846524,0.5690048281071304,0.3237664944092349,0.013390441005063793,3.251072047118097,-1.134305110247534,13.85963917106113
P02_R1,A36_Deg,NL_RobustP2P_Deg,10,-1.643855512528221,4.748697586206532,-0.15133474704580738,0.022902205663421382,0.016095910715867395,3.7961993471330335,-10.397891207016997,7.110180181960555
P02_R1,ClosureErrorDeg,NL_RobustP2P_Deg,10,-0.09571544533103855,3.268674328264818,-0.11762920641393299,0.013836630201565447,0.01617040775926539,0.2856908276756171,-0.7545184939510117,0.5630876032889345
P02_R1,ApproachReturnErrorDeg,NL_RobustP2P_Deg,10,0.1437286365018379,3.208660883935434,0.19552981648087092,0.03823190913303709,0.01596914704611595,0.25487104612793837,-0.44400399586918804,0.7314612688728638
P02_R1,AnalysisStartRawCentered,NL_RobustP2P_Deg,10,-0.0026779090909090464,-73.13585282045328,-0.5454383050082616,0.29750294457052895,0.013647993028611381,0.0014548809452581619,-0.006032864550674368,0.0006770463688562751
P02_R2,ShadowP2P_Deg,NL_RobustP2P_Deg,10,0.21634403949593392,2.5236685900938385,0.43677443777396024,0.19077190949276057,0.016080450822153983,0.15753541542456037,-0.14693262847310232,0.5796207074649702
P02_R2,RMS_AC_Deg,NL_RobustP2P_Deg,10,5.06419524253463,-0.639477571417773,0.6329585500763195,0.40063652611472134,0.013839101089077124,2.189955616269794,0.01415759141648465,10.114232893652776
P02_R2,A36_Deg,NL_RobustP2P_Deg,10,1.0317123739343654,2.3454240943616456,0.1211776253374677,0.01468401688243115,0.017743958337699338,2.9879888469692983,-5.858589907176837,7.922014655045567
P02_R2,ClosureErrorDeg,NL_RobustP2P_Deg,10,-1.039526847160443,3.290513254515128,-0.6673377815526224,0.44533971468757505,0.01331301068641431,0.41016494335483433,-1.985367206536691,-0.09368648778419508
P02_R2,ApproachReturnErrorDeg,NL_RobustP2P_Deg,10,0.6400043304106517,3.0108770462894903,0.8111978791021397,0.6580419990598112,0.0104531968771044,0.16311635093133892,0.2638580251629842,1.0161506356583194
P02_R2,AnalysisStartRawCentered,NL_RobustP2P_Deg,10,0.005811813953488373,169.0961016906977,0.674191365054751,0.4545339967142432,0.013202208561495022,0.002250957876862057,0.0006211050894444695,0.011002522817532277
