leg,motor_id,jig_id,order,mean_curve_amplitude_deg,mean_curve_phase_deg,run_amplitude_mean_deg,run_amplitude_sd_deg
A1,p05,JIG1,1,0.45738033301063136,-63.141107086640005,0.45742135522485006,0.00677843158508925
A1,p05,JIG1,2,0.11574592755596068,-62.19392044034683,0.11589805294659927,0.010237947676547354
A1,p05,JIG1,3,0.07855867672134519,68.85346240649343,0.07856106340508234,0.004163084181737864
A1,p05,JIG1,4,0.06744364017931431,-101.37225005377113,0.06746059885702003,0.00085217414277155
A1,p05,JIG1,5,0.028819496582072727,-113.34671326924541,0.028857935612947635,0.0009892449312845952
A1,p05,JIG1,6,0.012833840598444262,-119.9680022745189,0.012864997616667706,0.0012246512498149545
A1,p05,JIG1,7,0.024147582837701964,-178.01031589360252,0.024201764602695842,0.0008947965621767216
A1,p05,JIG1,8,0.019312414843147552,-119.96534324315394,0.01939112913190213,0.0011957939294836295
A1,p05,JIG1,9,0.281439971288419,159.27198503326701,0.2814446665181772,0.001611020281215478
A1,p05,JIG1,10,0.01705097622645374,-84.1567092826527,0.017051607226971462,0.00018628036049426347
A1,p05,JIG1,11,0.01764493698209463,-67.13802039537106,0.01767084155002752,0.0015998055773596101
A1,p05,JIG1,12,0.04055487938163236,75.79434256731976,0.040569293746390546,0.0020540102636578965
A1,p05,JIG1,13,0.017993464470116693,8.791479902335704,0.018063506484611646,0.0008618742150639646
A1,p05,JIG1,14,0.015434688913017186,33.66538768310002,0.015446059514696117,0.0006999340673762297
A1,p05,JIG1,15,0.01301846557756582,30.93980004884707,0.013044410014716906,0.0007761048090859009
A1,p05,JIG1,16,0.010392653419840452,62.732064184603274,0.010416351258416846,0.0011468756044588327
A1,p05,JIG1,17,0.0130963723848791,-63.87056541146904,0.013157831481028316,0.0012240445426567694
A1,p05,JIG1,18,0.10401665350220944,114.63749569574284,0.10401888188528392,0.0006155628473527961
A1,p05,JIG1,19,0.005078649553438378,-125.6699358512394,0.0051436321164782094,0.0011826656017958758
A1,p05,JIG1,20,0.0027742797591031546,-171.9514631761275,0.00277914455745035,0.001929380760055943
A1,p05,JIG1,21,0.00900394383910149,65.47787648832924,0.00905648446061895,0.0008786222231888665
A1,p05,JIG1,22,0.012532080419662242,128.7977321622438,0.01254170311469901,0.0017074374106962296
