motor_id,jig_id,test_id,sweep_id,run_order,run_role,eligible_for_statistics,eligibility_source,analysis_points,closure_index,shadow_contract_version,officially_valid,problems,rms_ac,raw_p2p,system_inl_deg,robust_p2p,closure_error_deg,tracking_rms_deg,tracking_max_abs_deg,mean_dc,p99_abs_deviation,A1,A2,A3,A6,A9,A12,A18,A27,A36,A45,A72,A108
p03,JIG1,1,1,0,PRECONDITION,False,DECLARED_ROLE,360,360,CANONICAL_Q16_1DEG360_V2,False,META.RunRole=PRECONDITION (excluded from official statistics); META.EligibleForStatistics=0 (excluded from official statistics),0.7006399633566711,2.82977,1.414885,2.6336459999999997,-0.1488,0.7409067748373385,1.6534423828125,0.25046225,1.32277775,0.12094176740384364,0.13964089180682232,0.04908999707165155,0.021822716724014295,0.17828207827273518,0.03800579628812657,0.11227140179469391,0.0277540338195932,0.9112086240446868,0.04361118162019875,0.19327573441187365,0.11311616480676899
p03,JIG1,2,2,1,OFFICIAL,True,DECLARED_ROLE,360,360,CANONICAL_Q16_1DEG360_V2,True,,0.702359588777811,2.83487,1.417435,2.6407499999999997,-0.0062,0.7950061075726711,1.8182373046875,0.3819315555555556,1.3361215555555557,0.18166551876232231,0.1409018370196506,0.038365237189261,0.00998596356055189,0.17419614447024873,0.030787322303006102,0.11087725378971328,0.028020854708590635,0.9052170191895416,0.05150005134513921,0.19261072000012947,0.11125856309738563
p03,JIG1,3,3,2,OFFICIAL,True,DECLARED_ROLE,360,360,CANONICAL_Q16_1DEG360_V2,True,,0.6988426781342502,2.78525,1.392625,2.626506,0.00198,0.8056536026275419,1.8621826171875,0.40793830555555555,1.3385383055555555,0.17794554030378001,0.14599378696132898,0.03554327235180148,0.0088891393771341,0.1732387778350366,0.029196696128049537,0.11366859486176122,0.027122059975994938,0.9001382840601271,0.0486743091837115,0.1926951707456976,0.11254033455060355
p03,JIG1,4,4,3,OFFICIAL,True,DECLARED_ROLE,360,360,CANONICAL_Q16_1DEG360_V2,True,,0.6978927447259237,2.79636,1.39818,2.6703680000000003,0.03622,0.8051318556284853,1.86767578125,0.4084218333333333,1.3531618333333333,0.17628675326584858,0.13628720997605462,0.03796352733746759,0.010798452362905223,0.17364753640042974,0.03153703331165258,0.11144782794513565,0.026344030830537386,0.9010680260249913,0.047896230713153395,0.19214359233459494,0.11151624053463244
p03,JIG1,1,1,0,PRECONDITION,False,DECLARED_ROLE,360,360,CANONICAL_Q16_1DEG360_V2,False,META.RunRole=PRECONDITION (excluded from official statistics); META.EligibleForStatistics=0 (excluded from official statistics),0.6955121181622859,2.74707,1.373535,2.6173480000000002,-0.08661,0.7280031938685156,1.658935546875,0.22015072222222223,1.3150607222222224,0.16553626582740558,0.12115807008674422,0.053065483248489004,0.01147216463515261,0.1757755919336786,0.0431749846010345,0.10813210408079611,0.026969994861864657,0.9016234807870533,0.04369336767140505,0.19032786872740964,0.11032089948033597
p03,JIG1,2,2,1,OFFICIAL,True,DECLARED_ROLE,360,360,CANONICAL_Q16_1DEG360_V2,True,,0.6979099050363003,2.73834,1.36917,2.632386,-0.06952,0.751985481862134,1.7138671875,0.2897466666666667,1.3217866666666667,0.17321116923555507,0.13815120251294177,0.036165313381668465,0.009959306503622239,0.1721587345283795,0.04146584593953412,0.11162224466270715,0.029041602248691165,0.9012498950893484,0.04518063747725542,0.19239515775466046,0.11438366692988561
p03,JIG1,3,3,2,OFFICIAL,True,DECLARED_ROLE,360,360,CANONICAL_Q16_1DEG360_V2,True,,0.6968533868485371,2.71863,1.359315,2.58529,-0.02216,0.7661968352610996,1.7303466796875,0.32801202777777777,1.2860220277777779,0.17342707171157137,0.13925958796442817,0.035210116324491836,0.006694738145257494,0.17154066210713495,0.04210642798190376,0.10970463661644975,0.028644393726438018,0.8992379303448483,0.051290310273584376,0.19424963047274438,0.11251487634090841
p03,JIG1,4,4,3,OFFICIAL,True,DECLARED_ROLE,360,360,CANONICAL_Q16_1DEG360_V2,True,,0.6958076721307116,2.73907,1.369535,2.582684,-0.026,0.7681184954699978,1.7523193359375,0.3349046111111111,1.2913246111111112,0.1751680303227104,0.13971645578354105,0.03395563066177854,0.0073164045014745315,0.1710435169657113,0.039854977831952805,0.11002552542944645,0.025787720829768768,0.8976802061950284,0.04604381818760696,0.19177168146127793,0.1090288236132152
p03,JIG1,1,1,0,PRECONDITION,False,DECLARED_ROLE,360,360,CANONICAL_Q16_1DEG360_V2,False,META.RunRole=PRECONDITION (excluded from official statistics); META.EligibleForStatistics=0 (excluded from official statistics),0.693617517472292,2.76022,1.38011,2.606934,0.04025,0.8024417643273536,1.8402099609375,0.4148948611111111,1.2926448611111112,0.16079067057405114,0.12320683934418426,0.03996923254236191,0.012488756374765155,0.1789095861625811,0.03111162441720204,0.11563867244754558,0.026251954216704402,0.8972311685896743,0.052331251447849204,0.19136079651036095,0.11293080951958027
p03,JIG1,2,2,1,OFFICIAL,True,DECLARED_ROLE,360,360,CANONICAL_Q16_1DEG360_V2,True,,0.6917430986418577,2.76025,1.380125,2.57744,0.05957,0.7867717258922962,1.8182373046875,0.38249283333333334,1.2942928333333334,0.16757496071192093,0.12858370160058286,0.03547658346855747,0.009478290558895455,0.17427134790903745,0.03203224353914471,0.11250549838143463,0.026709355298457946,0.8940613668261773,0.047916835057727286,0.1905793382290934,0.11421677669099761
