leg,motor_id,jig_id,order,mean_curve_amplitude_deg,mean_curve_phase_deg,run_amplitude_mean_deg,run_amplitude_sd_deg
A1,p03,JIG1,1,0.1775634752678934,-101.48042764239437,0.17757760776260692,0.00292193240770759
A1,p03,JIG1,2,0.11390390821543428,-156.72573549613057,0.11416576390294524,0.005850250104646155
A1,p03,JIG1,3,0.03222847783804628,61.23716624651842,0.032253813005839856,0.005650482074948724
A1,p03,JIG1,4,0.05498789647129252,-135.597536371539,0.05512787843226025,0.003313044530975243
A1,p03,JIG1,5,0.017625417592404338,-116.66264236941271,0.017643417142210807,0.001245799261611759
A1,p03,JIG1,6,0.007583948791569046,160.61604364636642,0.00845216737453942,0.0006471675969752039
A1,p03,JIG1,7,0.043806511142249746,-170.85579792071,0.04380769116958346,0.0022610066161064817
A1,p03,JIG1,8,0.013074705172249325,152.70332907190556,0.013297658117521627,0.0011815698109423213
A1,p03,JIG1,9,0.17106333344627742,92.27178253237437,0.1710636911332419,0.0037750850563227404
A1,p03,JIG1,10,0.016278611644522503,-117.74572592020894,0.016385249706164555,0.0015181038430405623
A1,p03,JIG1,11,0.01632626931727431,-117.85446476853072,0.016335195940996878,0.0020104346176631586
A1,p03,JIG1,12,0.03800511290505878,24.64291147292079,0.038010883819592785,0.0018008835072782494
A1,p03,JIG1,13,0.011737178593257416,-32.68931431451877,0.011869904296141468,0.0010303509442548475
A1,p03,JIG1,14,0.01200304531410855,-3.961612454571339,0.0120660875451939,0.0005215775584720968
A1,p03,JIG1,15,0.008666262207085433,-30.549634695482634,0.008749517813872973,7.548962055809206e-05
A1,p03,JIG1,16,0.013107433397393968,14.885126742492961,0.013116018202732949,0.0016209387805916908
A1,p03,JIG1,17,0.013323314776888405,-3.115290333565047,0.013358950302640319,0.0014592828429816466
A1,p03,JIG1,18,0.11098564285399368,-85.34483698384746,0.11098783517960865,0.0002768569040223066
A1,p03,JIG1,19,0.006659691911360183,73.70465052276998,0.006750253645081884,0.001511826482235764
